country,district,segment,lid,official_value
新北市,新莊區,海山頭段三角子小段,00920062,36500
新北市,新莊區,海山頭段三角子小段,00920063,36500
新北市,新莊區,海山頭段三角子小段,00920064,36500
新北市,新莊區,海山頭段三角子小段,00920065,54781
新北市,新莊區,海山頭段三角子小段,00920066,54781
新北市,新莊區,海山頭段三角子小段,00920067,54781
新北市,新莊區,海山頭段三角子小段,00920068,36500
新北市,新莊區,海山頭段三角子小段,00920069,36500
新北市,新莊區,海山頭段三角子小段,00920070,36500
新北市,新莊區,海山頭段三角子小段,00920071,36500
新北市,新莊區,海山頭段三角子小段,00920072,54781
新北市,新莊區,海山頭段三角子小段,00920073,54781
新北市,新莊區,海山頭段三角子小段,00920074,54781
新北市,新莊區,海山頭段三角子小段,00920075,54781
新北市,新莊區,海山頭段三角子小段,00920076,36500
新北市,新莊區,海山頭段三角子小段,00920077,36500
新北市,新莊區,海山頭段三角子小段,00920078,40971
新北市,新莊區,海山頭段三角子小段,01230000,36500
新北市,新莊區,海山頭段三角子小段,01230001,36500
新北市,新莊區,海山頭段三角子小段,01240000,36500
新北市,新莊區,海山頭段三角子小段,01240001,36500
新北市,新莊區,海山頭段三角子小段,01240002,54781
新北市,新莊區,海山頭段三角子小段,01240003,54781
新北市,新莊區,海山頭段三角子小段,01240006,54781
新北市,新莊區,海山頭段三角子小段,01240007,36500
新北市,新莊區,海山頭段三角子小段,01240008,54781
新北市,新莊區,海山頭段三角子小段,01240009,54781
新北市,新莊區,海山頭段三角子小段,01240010,54781
新北市,新莊區,海山頭段三角子小段,01240011,54781
新北市,新莊區,海山頭段三角子小段,01240012,54781
新北市,新莊區,海山頭段三角子小段,01240013,36500
新北市,新莊區,海山頭段三角子小段,01240014,36500
新北市,新莊區,海山頭段三角子小段,01240015,36500
新北市,新莊區,海山頭段三角子小段,01240016,36500
新北市,新莊區,海山頭段三角子小段,01240017,36500
新北市,新莊區,海山頭段三角子小段,01240018,54781
新北市,新莊區,海山頭段三角子小段,01240019,36500
